acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year,target_emotion
0.482,['Frank Reyes'],0.939,262587,0.635,0,0D0hqpMEi4aHukh8zP5gSF,5.72E-05,5,0.133,-4.423,0,Quién Eres Tu,57,30-03-2004,0.0345,130.937,0.843,2004,happy
0.371,"[""Booker T. & the M.G.'s""]",0.559,258800,0.642,0,4IPhvkM2qPaFTl0WbnbEpP,0.796,1,0.0737,-13.496,1,L.A. Jazz Song,27,01-01-1983,0.0352,107.122,0.785,1983,happy
0.649,['Creme Soda'],0.423,171128,0.566,0,5EjQaJepqPcGG2NQM9fNPG,0.000668,7,0.268,-8.513,1,Keep It Heavy,30,1975,0.0373,129.249,0.815,1975,happy
0.242,['The Animals'],0.628,142653,0.939,0,2pAjhHOFGoyfzyvtl5Kiwr,0.000402,5,0.119,-5.027,1,The Girl Can't Help It,29,01-01-1964,0.0855,101.969,0.882,1964,happy
0.306,"['Fania All Stars', 'Tito Puente', 'Eddie Palmieri', 'Ricardo ""Richie"" Ray']",0.593,497080,0.859,0,7xdo44K01QFyEWKVeeOn5Z,0.339,0,0.79,-5.159,1,Me Gusta El Son - Live,28,01-01-1968,0.0385,96.436,0.951,1968,happy
0.757,['Ricky Nelson'],0.595,120160,0.653,0,72B9TNuORSW235TKZxvnWM,0,8,0.105,-8.318,1,It's Late,21,01-01-1962,0.0408,82.811,0.884,1962,happy
0.65,['John Mayall'],0.598,423720,0.544,0,3Ht3ffJa58su4AUhbVCRMY,0.727,2,0.743,-11.16,0,So Hard To Share,34,1969,0.0374,109.604,0.764,1969,happy
0.683,['Aretha Franklin'],0.664,208467,0.634,0,3iX0BMs9dX9CsgrHhiB173,3.34E-05,2,0.221,-6.348,1,Until You Come Back to Me (That's What I'm Gonna Do),48,25-02-1974,0.0349,93.914,0.666,1974,happy
0.111,['Taylor Swift'],0.618,237067,0.687,0,08gavXombT6KR0af88i9tA,0,2,0.0693,-5.737,1,Jump Then Fall,47,11-11-2008,0.0271,79.991,0.82,2008,happy
0.255,['Los Tigres Del Norte'],0.793,173480,0.56,0,2L0cXrBWHlwMjkHxgxXFZk,0,10,0.0453,-11.093,1,No Me Quedare,37,01-01-1994,0.0776,111.513,0.958,1994,happy
0.981,"['Francisco Canaro', 'Francisco Amor']",0.467,180787,0.448,0,3skos2fwpiOH8WA5dOxppv,0.00822,7,0.284,-6.642,1,Tengo Mil Novias - Remasterizado,0,24-01-1940,0.0695,76.054,0.867,1940,happy
0.0756,['Iggy Pop'],0.513,260031,0.655,0,4pU9OwAXdwghkgUhaZQQ3Q,0.0323,0,0.246,-7.499,1,Sister Midnight,42,18-03-1977,0.0428,108.712,0.736,1977,happy
0.101,['Freddie King'],0.678,216627,0.612,0,0RTjFVHvqjTdpX2NawwyXI,0.318,4,0.164,-9.764,1,Stumble,51,1969,0.0339,118.381,0.857,1969,happy
0.171,['Banda Machos'],0.834,148267,0.373,0,1oyFVrHU6I2vRUSR1VVDKL,0,4,0.0784,-14.187,1,Chiquita bonita,51,26-08-1996,0.0607,115.794,0.888,1996,happy
